label,sentence
sehr freundlich,Hallo lieber Villager! Wie geht es dir heute?
sehr freundlich,"Schön, dich hier zu sehen! Was hast du Neues im Angebot?"
sehr freundlich,"Ich hoffe, dein Tag ist genauso fantastisch wie deins!"
sehr freundlich,"Danke, dass du immer so geduldig mit mir bist!"
sehr freundlich,Deine Trades machen immer so viel Spaß!
sehr freundlich,"Hey, du bist wirklich toll! Danke für deine Hilfe!"
sehr freundlich,"Ich schätze deine Freundlichkeit sehr, lieber Villager!"
sehr freundlich,"Deine Produkte sind immer von bester Qualität, danke!"
sehr freundlich,"Ich bewundere deine Arbeit, sie ist wirklich beeindruckend!"
sehr freundlich,"Es macht immer so viel Spaß, mit dir zu handeln!"
sehr freundlich,"Deine Gesellschaft ist wirklich erhebend, vielen Dank!"
sehr freundlich,"Ich bin so dankbar, dass du immer so zuverlässig bist!"
sehr freundlich,"Dein Lächeln bringt mich immer zum Strahlen, vielen Dank!"
sehr freundlich,"Die Zeit mit dir vergeht immer wie im Flug, danke!"
sehr freundlich,"Deine Trades sind wirklich einzigartig, danke dafür!"
sehr freundlich,Ich schätze deine Geduld und deine Freundlichkeit sehr!
sehr freundlich,"Es ist immer eine Freude, mit dir zu interagieren!"
sehr freundlich,"Deine Handelsangebote sind wirklich großartig, vielen Dank!"
sehr freundlich,"Ich mag deine positive Energie, die du ausstrahlst!"
sehr freundlich,"Deine Anwesenheit hier erhellt wirklich meinen Tag, vielen Dank!"
sehr freundlich,"Danke, dass du immer so hilfsbereit bist, lieber Villager!"
sehr freundlich,"Deine Trades sind immer so fair, vielen Dank dafür!"
sehr freundlich,"Ich fühle mich immer so willkommen in deiner Nähe, vielen Dank!"
sehr freundlich,"Du bist wirklich ein Schatz, lieber Villager, vielen Dank!"
sehr freundlich,"Ich schätze deine Gesellschaft und deine Handelsangebote wirklich sehr, danke!"
neutral,Wie geht es dir heute?
neutral,Was für Ressourcen sammelst du?
neutral,Hast du schon lange in diesem Dorf gelebt?
neutral,Wie ist das Wetter draußen?
neutral,Hast du Geschwister?
neutral,Was denkst du über die anderen Dorfbewohner?
neutral,Hast du einen Lieblingsplatz im Dorf?
neutral,Bist du oft auf Reisen?
neutral,Was hältst du von den Handelspreisen hier?
neutral,Wie findest du die Landschaft um das Dorf herum?
neutral,Gibt es hier viele Besucher?
neutral,Hast du schon mal das Dorf verlassen?
neutral,Wie viele Jahre bist du schon hier?
neutral,Was magst du am liebsten an deinem Beruf?
neutral,Hast du schon mal einen Creeper gesehen?
neutral,Was denkst du über die Dorfältesten?
neutral,Wie würdest du das Essen hier beschreiben?
neutral,Hast du schon mal eine Schatzsuche gemacht?
neutral,Gibt es hier viele Feste im Dorf?
neutral,Welche Jahreszeit magst du am liebsten?
neutral,Hast du schon mal eine Höhle erkundet?
neutral,Welche Geräusche hörst du am liebsten im Dorf?
neutral,Was machst du in deiner Freizeit?
neutral,Wie findest du die Architektur hier im Dorf?
neutral,Besuchst du oft den Marktplatz?
unfreundlich,"Hey, du fauler Nichtsnutz, zeig mir deine Waren!"
unfreundlich,"Du dreckiger Bastard, beeil dich mit dem Handel!"
unfreundlich,"Los, du nutzloser Tagedieb, was hast du zu bieten?"
unfreundlich,"Mach schneller, du verfluchter Schuft!"
unfreundlich,"Hey, du minderwertiger Wicht, beeindruck mich mit deinen Trades!"
unfreundlich,"Hör auf zu trödeln, du elender Schurke!"
unfreundlich,"Du armselige Kreatur, beeil dich mit dem Tausch!"
unfreundlich,"Zeig mir endlich deine Waren, du verlogener Vagabund!"
unfreundlich,"Hey, du erbärmlicher Krüppel, beeil dich gefälligst!"
unfreundlich,"Mach hin, du nutzloser Versager, und zeig mir deine Angebote!"
unfreundlich,"Du elender Taugenichts, beeil dich mit dem Handel!"
unfreundlich,"Hey, du nutzloser Parasit, ich will deine Waren sehen!"
unfreundlich,"Beeil dich, du fauler Faulpelz, und zeig mir deine Trades!"
unfreundlich,"Zeig mir deine Waren, du verfluchter Nichtsnutz!"
unfreundlich,"Hey, du lächerlicher Schwächling, beeindruck mich mit deinen Tauschgeschäften!"
unfreundlich,"Du fauler Feigling, beeil dich mit dem Handel!"
unfreundlich,"Mach schneller, du erbärmlicher Wicht!"
unfreundlich,"Hey, du nutzloser Schmarotzer, zeig mir endlich deine Angebote!"
unfreundlich,"Hör auf zu zaudern, du elender Tagedieb!"
unfreundlich,"Du abscheulicher Schuft, beeil dich gefälligst mit dem Tausch!"
unfreundlich,"Zeig mir deine Waren, du verfluchter Schurke!"
unfreundlich,"Hey, du erbärmlicher Wicht, beeindruck mich mit deinen Trades!"
unfreundlich,"Du elender Faulpelz, mach hin mit dem Handel!"
unfreundlich,"Beeil dich, du nutzloser Nichtsnutz, und zeig mir deine Angebote!"
unfreundlich,"Hey, du verlogener Schurke, ich will deine Waren sehen!"
sehr freundlich,"Hey lieber Villager, wie geht es dir heute?"
sehr freundlich,Guten Tag! Kann ich dir bei etwas behilflich sein?
sehr freundlich,"Schön dich zu sehen, Villager! Hast du neue Waren?"
sehr freundlich,Hallo! Ich hoffe du hast einen wundervollen Tag!
sehr freundlich,"Gibt es etwas, das ich für dich tun kann, lieber Villager?"
sehr freundlich,Liebe Grüße! Zeig mir doch mal deine Angebote.
sehr freundlich,Hallo! Deine Stand ist immer so schön bunt und einladend.
sehr freundlich,Hey! Was hast du heute Schönes für mich?
sehr freundlich,"Hallo, Villager! Deine Freundlichkeit macht mich immer glücklich."
sehr freundlich,Guten Morgen! Hast du schon neue Waren im Angebot?
sehr freundlich,Hallo! Deine Trades sind immer fair und großzügig.
sehr freundlich,"Schön dich zu sehen, Villager! Dein Lächeln ist ansteckend."
sehr freundlich,"Hey! Ich schaue gerne bei dir vorbei, deine Waren sind toll."
sehr freundlich,Hallo! Du bist wirklich der beste Händler in der ganzen Stadt.
sehr freundlich,Guten Tag! Deine Waren sind immer von bester Qualität.
sehr freundlich,"Hallo, Villager! Deine Höflichkeit ist vorbildlich."
sehr freundlich,"Hey! Ich freue mich immer, von dir zu kaufen."
sehr freundlich,Guten Morgen! Deine Trades machen meinen Tag besser.
sehr freundlich,Hallo! Du bist wirklich ein großartiger Handelspartner.
sehr freundlich,"Schön dich zu sehen, Villager! Deine Preise sind fair."
sehr freundlich,Hey! Ich schätze deine Arbeit als Händler sehr.
sehr freundlich,Hallo! Deine Waren bringen immer Freude in mein Leben.
sehr freundlich,Guten Tag! Deine Professionalität beeindruckt mich immer.
sehr freundlich,"Hallo, Villager! Dein Stand ist immer so schön dekoriert."
sehr freundlich,"Hey! Ich bin immer glücklich, wenn ich bei dir einkaufen kann."
