label,sentence
freundlich,Hallo lieber Villager! Wie geht es dir heute?
freundlich,"Schön, dich hier zu sehen! Was hast du Neues im Angebot?"
freundlich,"Ich hoffe, dein Tag ist genauso fantastisch wie deins!"
freundlich,"Danke, dass du immer so geduldig mit mir bist!"
freundlich,Deine Trades machen immer so viel Spaß!
freundlich,"Hey, du bist wirklich toll! Danke für deine Hilfe!"
freundlich,"Ich schätze deine Freundlichkeit sehr, lieber Villager!"
freundlich,"Deine Produkte sind immer von bester Qualität, danke!"
freundlich,"Ich bewundere deine Arbeit, sie ist wirklich beeindruckend!"
freundlich,"Es macht immer so viel Spaß, mit dir zu handeln!"
freundlich,"Deine Gesellschaft ist wirklich erhebend, vielen Dank!"
freundlich,"Ich bin so dankbar, dass du immer so zuverlässig bist!"
freundlich,"Dein Lächeln bringt mich immer zum Strahlen, vielen Dank!"
freundlich,"Die Zeit mit dir vergeht immer wie im Flug, danke!"
freundlich,"Deine Trades sind wirklich einzigartig, danke dafür!"
freundlich,Ich schätze deine Geduld und deine Freundlichkeit sehr!
freundlich,"Es ist immer eine Freude, mit dir zu interagieren!"
freundlich,"Deine Handelsangebote sind wirklich großartig, vielen Dank!"
freundlich,"Ich mag deine positive Energie, die du ausstrahlst!"
freundlich,"Deine Anwesenheit hier erhellt wirklich meinen Tag, vielen Dank!"
freundlich,"Danke, dass du immer so hilfsbereit bist, lieber Villager!"
freundlich,"Deine Trades sind immer so fair, vielen Dank dafür!"
freundlich,"Ich fühle mich immer so willkommen in deiner Nähe, vielen Dank!"
freundlich,"Du bist wirklich ein Schatz, lieber Villager, vielen Dank!"
freundlich,"Ich schätze deine Gesellschaft und deine Handelsangebote wirklich sehr, danke!"
neutral,Wie geht es dir heute?
neutral,Was für Ressourcen sammelst du?
neutral,Hast du schon lange in diesem Dorf gelebt?
neutral,Wie ist das Wetter draußen?
neutral,Hast du Geschwister?
neutral,Was denkst du über die anderen Dorfbewohner?
neutral,Hast du einen Lieblingsplatz im Dorf?
neutral,Bist du oft auf Reisen?
neutral,Was hältst du von den Handelspreisen hier?
neutral,Wie findest du die Landschaft um das Dorf herum?
neutral,Gibt es hier viele Besucher?
neutral,Hast du schon mal das Dorf verlassen?
neutral,Wie viele Jahre bist du schon hier?
neutral,Was magst du am liebsten an deinem Beruf?
neutral,Hast du schon mal einen Creeper gesehen?
neutral,Was denkst du über die Dorfältesten?
neutral,Wie würdest du das Essen hier beschreiben?
neutral,Hast du schon mal eine Schatzsuche gemacht?
neutral,Gibt es hier viele Feste im Dorf?
neutral,Welche Jahreszeit magst du am liebsten?
neutral,Hast du schon mal eine Höhle erkundet?
neutral,Welche Geräusche hörst du am liebsten im Dorf?
neutral,Was machst du in deiner Freizeit?
neutral,Wie findest du die Architektur hier im Dorf?
neutral,Besuchst du oft den Marktplatz?
unfreundlich,"Hey, du fauler Nichtsnutz, zeig mir deine Waren!"
unfreundlich,"Du dreckiger Bastard, beeil dich mit dem Handel!"
unfreundlich,"Los, du nutzloser Tagedieb, was hast du zu bieten?"
unfreundlich,"Mach schneller, du verfluchter Schuft!"
unfreundlich,"Hey, du minderwertiger Wicht, beeindruck mich mit deinen Trades!"
unfreundlich,"Hör auf zu trödeln, du elender Schurke!"
unfreundlich,"Du armselige Kreatur, beeil dich mit dem Tausch!"
unfreundlich,"Zeig mir endlich deine Waren, du verlogener Vagabund!"
unfreundlich,"Hey, du erbärmlicher Krüppel, beeil dich gefälligst!"
